gene,protein,cluster,n_cells,rho_obs,rho_null_mean,z_score,p_value,fdr_padj
CD19,CD45RA,0,3446,-0.13399029117778882,-0.0007162790984905749,-7.768548373318978,7.939068703948625e-15,3.1110238483646785e-14
GENE_05607,CD19,0,3446,-0.13029005719521655,-0.0003689351896127435,-7.767847814561026,7.983089334745475e-15,3.122627182020477e-14
GENE_02136,CD8a,1,2427,0.15049075771383102,-0.0008507636933214632,7.763494932612682,8.262042545363933e-15,3.2259182334781337e-14
PPBP,CD56,2,938,0.2589519303083557,-0.0007433730070205628,7.760987581950582,8.427056918143458e-15,3.284430277269222e-14
NCAM1,CD16,2,938,0.2582746795122678,0.0009569633402064164,7.759952759813262,8.496102618695565e-15,3.305395758476353e-14
GENE_01202,CD56,2,938,0.2509451383337509,-0.0019450717608248472,7.75643850978268,8.734763081939615e-15,3.392156200459345e-14
GENE_11105,CD14,0,3446,-0.1338351560085814,-0.0007874706457176964,-7.753504602995256,8.939054857087496e-15,3.465282983060573e-14
GENE_05607,TIGIT,0,3446,0.12992348681281843,0.00022245199325105535,7.7298703455160105,1.0765617293705115e-14,4.1659094063319613e-14
CD79A,CD3,0,3446,-0.13019330871871407,-3.632344081671396e-06,-7.7168224441653415,1.192656110647787e-14,4.6069265450512555e-14
GENE_10890,CD56,2,938,0.24774612683735725,-0.0018570023148011463,7.706812484368202,1.2899912756077402e-14,4.9740410929572474e-14
GENE_05259,CD8a,1,2427,0.14969894098379546,-0.000714627978439522,7.695909105595248,1.4049165864596725e-14,5.407556381630747e-14
GENE_05636,CD8a,1,2427,0.15111824416126365,-0.0010277317663895391,7.676966535000617,1.6289996423501208e-14,6.258940115199843e-14
CD8A,CD3,4,932,0.2536698632392768,-0.0006072636131744595,7.676238825795858,1.6382756673690625e-14,6.280546727697285e-14
GENE_06740,TIGIT,0,3446,0.12782168359857113,-0.000593043008195275,7.676071203604722,1.6404196806075974e-14,6.280546727697285e-14
GENE_00944,IgM,4,932,-0.2520985371994903,0.00022745612326181383,-7.674468832150369,1.6610550365368227e-14,6.348335562919391e-14
MS4A1,CD19,2,938,0.25705586236646305,0.0008375224518318678,7.671668094371547,1.6977379810278222e-14,6.477109515646638e-14
CD3G,CD14,4,932,-0.2552018438575924,0.0021012766680136726,-7.665702347530092,1.7785522394950937e-14,6.770348162725941e-14
GZMA,PD-1,1,2427,0.15694242028369249,0.00028032252999399634,7.665536768399458,1.7808483861346498e-14,6.770348162725941e-14
CD3D,CD161,1,2427,-0.15564771540352312,-0.0002481865583544373,-7.6611778732840685,1.8423548053716512e-14,6.991913946130241e-14
GENE_05651,CD8a,1,2427,0.15322786068252853,-0.0007128465407043302,7.656404657438593,1.9121059003652502e-14,7.243939660999121e-14
GENE_02017,TIGIT,0,3446,0.12948484063080454,-0.00038809719488716826,7.647598903772247,2.0476674255509694e-14,7.743970874640403e-14
GENE_10609,TIGIT,0,3446,0.1281284997293455,-0.0002653096501919238,7.645735539060745,2.0775427330900913e-14,7.843266729279142e-14
GENE_15546,TIGIT,0,3446,0.1275775100733995,-0.0003828140612314124,7.642913911450096,2.123599865523727e-14,8.003201580156376e-14
CD79A,CD14,4,932,-0.2602180436960197,-2.9652868523376682e-05,-7.640566351017514,2.1626831038363853e-14,8.136344246551123e-14
GENE_01061,CD8a,1,2427,0.15186948162378774,-0.0007578433555391703,7.629024247081835,2.365371512502088e-14,8.883466321649957e-14
GZMA,CD161,0,3446,0.13047371618144324,0.0008036560089292578,7.621957417046002,2.498574696021887e-14,9.36749371328621e-14
PPBP,TIGIT,0,3446,0.12872715440595933,4.046411734579015e-05,7.609376060518104,2.7542228209082312e-14,1.0308118916939788e-13
MS4A1,CD3,4,932,-0.24220495991516827,0.0009332473588587627,-7.594025971753054,3.1011619955701204e-14,1.158658283517319e-13
FCER1A,CD8a,1,2427,0.14773321115513452,-0.0009257393597242062,7.592452242071491,3.139071965031205e-14,1.170803605546062e-13
LYZ,CD56,2,938,0.24758005034897526,-0.0015647787466928828,7.5915494544817355,3.161024781671586e-14,1.1769657563371694e-13
GZMA,HLA-DR,2,938,-0.25430631051738534,0.0014552667246575442,-7.578356208832626,3.4996047091645645e-14,1.3007964673687155e-13
GENE_02017,CD14,0,3446,-0.1312541318006256,-5.032342876204378e-07,-7.578030808951713,3.5083909883300894e-14,1.301829327347826e-13
CD8B,HLA-DR,2,938,-0.2478464774907183,0.0012672206877082182,-7.574523156937264,3.604490984231102e-14,1.3352020449279995e-13
NKG7,CD19,4,932,-0.24375254845539523,0.0002557856064183343,-7.5733902549761645,3.636078921623339e-14,1.344604611460371e-13
GENE_01161,CD19,0,3446,-0.12792056597741777,-0.00017946259329664225,-7.569178147512949,3.7559279034956506e-14,1.386558052278548e-13
CST3,CD56,2,938,0.2520879001453916,-0.0007121907922744055,7.564871580648089,3.882479716553146e-14,1.4308390383963719e-13
GENE_04161,CD19,0,3446,-0.12780714872021964,0.0002641544603204489,-7.563435713558599,3.925598705992066e-14,1.4442737514235667e-13
GENE_16888,CD14,0,3446,-0.1306411875087836,-0.00014046607561794296,-7.557608005067418,4.105490926632491e-14,1.50789810813773e-13
GENE_16987,TIGIT,0,3446,0.12587260368277525,-0.0005906450437860268,7.541557251479679,4.643921104493765e-14,1.702771071647714e-13
GENE_19667,IgM,4,932,-0.24878151601768334,-0.00036024974046399653,-7.52981742833813,5.081131789765875e-14,1.8599345588551776e-13
CD3D,CD14,4,932,-0.25163541719845206,0.0013129392391912822,-7.528129756923498,5.1472229230017334e-14,1.8809497595522355e-13
GENE_11451,IgM,4,932,-0.24555262046897264,-0.00016604192823600652,-7.5068683781830225,6.055856049576475e-14,2.2092660032714176e-13
GENE_14594,IgM,4,932,-0.2411184653546725,-0.0002817447145579065,-7.503300421608216,6.223070381616488e-14,2.2664526919265426e-13
GENE_07686,CD56,2,938,0.24556840197937313,-0.0013908666306127122,7.499596220616843,6.401471710689535e-14,2.327514965950373e-13
KLRB1,CD45RO,2,938,-0.24896581004200308,-0.0003739150841343639,-7.498743733384339,6.443235488464882e-14,2.3387757627308874e-13
CD8B,PD-1,1,2427,0.15457214454123966,0.0006489013838521568,7.4853020148720235,7.13827922221583e-14,2.5867309489200176e-13
GENE_07285,TIGIT,0,3446,0.12462601622538691,-0.0004037324440291376,7.484747186758079,7.168499317197345e-14,2.593345245470225e-13
GENE_00944,CD19,4,932,-0.24025179353904005,0.0009912264896284168,-7.483985246111041,7.210205351752118e-14,2.6040858328744737e-13
GENE_10989,CD8a,4,932,0.2474137634587664,-0.0005497413802503,7.4836678867012205,7.227646805631725e-14,2.6060417017976614e-13
FCER1A,CD56,0,3446,0.12603946371699645,0.0005404925619556704,7.459571665450436,8.680420538819748e-14,3.124663007910697e-13
GENE_07427,CD56,2,938,0.23627383570036148,-0.0012585658155953021,7.457189672929175,8.838742247179456e-14,3.1763771889946735e-13
CD14,CD56,4,932,0.24267212009154052,3.610764503572523e-05,7.455195814585946,8.973445671384493e-14,3.2194464850811585e-13
GENE_10670,CD8a,1,2427,0.14914397416458558,-0.0008974459412827971,7.45285116393372,9.13443140873567e-14,3.271787250038049e-13
GENE_13647,CD8a,1,2427,0.1477272928348082,-0.0006119773607521877,7.450155094924168,9.323056576925769e-14,3.3338388782505185e-13
GENE_11527,CD8a,1,2427,0.14871888601328417,-0.0007922570151458481,7.4472717438753895,9.529021565639399e-14,3.401876397486092e-13
GENE_14089,CD19,0,3446,-0.12420611975470586,-0.0001485959563339046,-7.4451911115040135,9.680417790365548e-14,3.450241011796405e-13
LYZ,CD25,2,938,-0.24233681868545923,0.00015357597262709205,-7.437397927625745,1.0268787180944338e-13,3.6539346175872546e-13
GENE_14089,TIGIT,0,3446,0.1222095546456863,-0.0005497039700929621,7.424747896658528,1.1299492678155389e-13,4.01409846451848e-13
GENE_04613,TIGIT,0,3446,0.12348750976980985,-0.0006492108281156391,7.413239734495634,1.2325079321167184e-13,4.3712679032682955e-13
GENE_08030,CD8a,4,932,0.2413320192582626,-0.0012308065610372228,7.404219296630405,1.3192426214529282e-13,4.671239805046562e-13
CLEC9A,CD45RO,2,938,-0.2350612086999275,0.000556072512161816,-7.380164245677,1.5809437881958275e-13,5.588752347504662e-13
GENE_15449,CD19,0,3446,-0.11928298388945723,-0.0002036063671437606,-7.377383469543192,1.6143055480362504e-13,5.697394336473216e-13
GENE_04125,TIGIT,0,3446,0.12331015386130598,-0.00022763584731213114,7.368751959950984,1.7223276822052403e-13,6.068754613558953e-13
GENE_19228,CD14,0,3446,-0.12565066397698763,-0.0003187853516484554,-7.366592359613811,1.750446860890741e-13,6.157821992776356e-13
NCAM1,CD45RO,2,938,-0.24253494674950798,-6.905599370421589e-05,-7.3655782718718825,1.7638059920219295e-13,6.194761077328236e-13
GENE_10989,IgM,4,932,-0.2399031992140826,-0.0004165797168981385,-7.359487578138623,1.8461753541514397e-13,6.47356309457309e-13
GENE_07293,IgM,4,932,-0.24299062236867247,-9.513515146000654e-05,-7.358558208558119,1.8590718934472124e-13,6.508253300646381e-13
GENE_19877,TIGIT,0,3446,0.12587514258493882,-1.1517450892272993e-05,7.349141539366724,1.9948386534738822e-13,6.972282842061134e-13
GENE_02320,TIGIT,0,3446,0.12361458114214721,-0.0007091671558064162,7.342495824864462,2.0964706559553996e-13,7.315703561119728e-13
GENE_04613,CD14,0,3446,-0.12798995975236838,-0.0005402942671515603,-7.337351148749014,2.1786247916538239e-13,7.590160648736071e-13
NKG7,CD16,2,938,0.24651766875445916,0.0004996964326140324,7.334413024509003,2.2269533290713376e-13,7.746080038679917e-13
GENE_01376,CD56,2,938,0.23973220226513184,-0.0008036933395802708,7.3286251753513385,2.325257167651962e-13,8.075051734458014e-13
GENE_13579,IgM,1,2427,-0.14942893642653907,-0.0005770828419600865,-7.321728441223142,2.4479715504649563e-13,8.487606959772096e-13
GENE_11179,CD8a,1,2427,0.14852398745468828,-0.0008542456089369262,7.313641904605882,2.599974574691683e-13,9.000231475010986e-13
GENE_08494,IgM,4,932,-0.23994299284412923,-0.0005362981339657479,-7.308600128064713,2.6993975931619194e-13,9.329496944787687e-13
GZMA,CD14,1,2427,-0.147925576818741,0.0010332669878549915,-7.297352612939979,2.934849337936099e-13,1.0127099546668036e-12
GENE_01891,CD19,0,3446,-0.12150141435181529,0.0001042610802142597,-7.277916789392169,3.3901432001902557e-13,1.1679555349463091e-12
CD3E,CD4,5,86,0.7893430812903977,-0.003954877477929586,7.2773774514451794,3.4037195428228986e-13,1.1707714681424162e-12
CD3D,CD3,3,171,0.5394354805580552,-0.0003521408780575921,7.271322797810047,3.559841340773419e-13,1.222531883590491e-12
GENE_10844,TIGIT,0,3446,0.12103900076217579,-0.0004488181853830835,7.26556109711175,3.714929708220074e-13,1.2737741578659655e-12
GENE_06740,CD56,0,3446,0.12404756692203363,0.0005775634644458982,7.254573798155549,4.02928543426043e-13,1.3793778098013195e-12
GENE_13941,IgM,4,932,-0.23940061571809798,-0.0008495645681146542,-7.250590135576025,4.1495961897727697e-13,1.4183241235390523e-12
GENE_05821,CD56,2,938,0.2336799063488395,-0.0017225567112566513,7.245109189738519,4.3209095978829907e-13,1.474552928915345e-12
GENE_04826,IgM,4,932,-0.23195334644931817,0.000603483492996222,-7.244327678884634,4.3458956393993517e-13,1.4807477752481752e-12
CD3E,CD14,4,932,-0.24450628602577834,0.0011519766348018553,-7.234519871254024,4.671789375512563e-13,1.5892884735848861e-12
GENE_11354,CD14,0,3446,-0.12437759802583158,-0.000242017636368202,-7.212768186802232,5.482570620326998e-13,1.862183469317963e-12
GENE_06523,CD56,2,938,0.23169274525857433,-0.0013372775154590654,7.211647252722343,5.527902465446481e-13,1.8746423540880323e-12
CD19,CD14,4,932,-0.24712425950456768,-0.0004894537223570982,-7.204034299300342,5.84566512991688e-13,1.9793056775827934e-12
