sender,receiver,ligand,receptor,score_classical,gat_sim,score,z_score,fdr
3,4,GENE_01233,GENE_02241,1.0055450980793992,0.9979414343833923,2.0090202155939436,-67.0834451919,1.0
3,5,GENE_01233,GENE_02241,1.0633212822146143,0.9867527484893799,2.1125564799671364,-178.93364917009805,1.0
4,0,GENE_01233,GENE_02241,0.9604610578780381,0.9992010593414307,1.920154764365965,-118.80005781029205,1.0
4,1,GENE_01233,GENE_02241,0.9788709489967872,0.9998115301132202,1.9575574102966449,-23.729185998278307,1.0
4,2,GENE_01233,GENE_02241,0.9623121451052133,0.9985918998718262,1.9232692583555608,-141.28351045282983,1.0
4,3,GENE_01233,GENE_02241,0.9167466226577512,0.9979414343833923,1.831606062238958,-67.0834451919,1.0
4,4,GENE_01233,GENE_02241,0.9752220725525963,1.0,1.9504441451051926,-0.013887533519444564,1.0
4,5,GENE_01233,GENE_02241,1.0312559691367909,0.9875062704086304,2.049627705055701,-256.92405883004614,1.0
5,0,GENE_01233,GENE_02241,0.8975597540023135,0.9927322864532471,1.788596300821444,-153.6492494033615,1.0
5,1,GENE_01233,GENE_02241,0.9147639677580075,0.9859763383865356,1.8166995951759868,-298.53014473761243,1.0
5,2,GENE_01233,GENE_02241,0.8992896121601558,0.990939736366272,1.7904314233510676,-192.7659574857351,1.0
5,3,GENE_01233,GENE_02241,0.8567082094229255,0.9867527484893799,1.7020673897244125,-178.93364917009805,1.0
5,4,GENE_01233,GENE_02241,0.9113540589264423,0.9875062704086304,1.8113219066786606,-256.92405883004614,1.0
5,5,GENE_01233,GENE_02241,0.9637182542484427,1.0000001192092896,1.9274366233810538,0.10102980698524008,1.0
0,0,GENE_16765,GENE_07293,0.9733233006809537,1.0000001192092896,1.9466467173910866,0.09099224249153974,1.0
0,1,GENE_16765,GENE_07293,0.9758747788545823,0.9988289475440979,1.950606757152734,-299.57882125132807,1.0
0,2,GENE_16765,GENE_07293,0.9693435630626742,0.9993154406547546,1.9380235529305005,-112.32307033697873,1.0
0,3,GENE_16765,GENE_07293,0.982854733926633,0.9978244304656982,1.963571199037491,-76.10267061547528,1.0
0,4,GENE_16765,GENE_07293,0.9953180441421935,0.9992010593414307,1.9898408882307141,-118.80005781029205,1.0
0,5,GENE_16765,GENE_07293,0.9426102176657587,0.9927322864532471,1.8783698142832803,-153.6492494033615,1.0
1,0,GENE_16765,GENE_07293,0.9778199455301957,0.9988289475440979,1.9544948126117483,-299.57882125132807,1.0
1,1,GENE_16765,GENE_07293,0.9803832112477774,1.0000001192092896,1.960766539366341,0.09353658071627739,1.0
1,2,GENE_16765,GENE_07293,0.9738218219689821,0.9987845420837402,1.9464600044954257,-188.21880430207423,1.0
1,3,GENE_16765,GENE_07293,0.9873954129320285,0.9986039400100708,1.973412362633823,-50.02198825239195,1.0
1,4,GENE_16765,GENE_07293,0.9999163022476126,0.9998115301132202,1.9996441503829514,-23.729185998278307,1.0
1,5,GENE_16765,GENE_07293,0.9469649715046364,0.9859763383865356,1.880650026689088,-298.53014473761243,1.0
2,0,GENE_16765,GENE_07293,0.9456367745657251,0.9993154406547546,1.8906262046402136,-112.32307033697873,1.0
2,1,GENE_16765,GENE_07293,0.9481156750387714,0.9987845420837402,1.8950789553747869,-188.21880430207423,1.0
2,2,GENE_16765,GENE_07293,0.9417702419939323,0.9999999403953552,1.883540427853984,-0.07471019371153047,1.0
2,3,GENE_16765,GENE_07293,0.9548970828159508,0.999411404132843,1.9092321171553959,-17.665789190956797,1.0
2,4,GENE_16765,GENE_07293,0.9670058697569488,0.9985918998718262,1.9326500984247479,-141.28351045282983,1.0
2,5,GENE_16765,GENE_07293,0.9157973360778773,0.990939736366272,1.8232973068558231,-192.7659574857351,1.0
3,0,GENE_16765,GENE_07293,0.9133465684124342,0.9978244304656982,1.8247060878563712,-76.10267061547528,1.0
3,1,GENE_16765,GENE_07293,0.9157408230579693,0.9986039400100708,1.8302032169917226,-50.02198825239195,1.0
